날짜,칼로리 소모량,걸음 수,이동 거리,층수,정적인 시간(분),약간 활동적인 시간(분),상당히 활동적인 시간(분),매우 활동적인 시간(분),활동 칼로리
"2021. 6. 7.","2,401","6,885","4.84","0","1,183","242","6","9","1,028"
"2021. 6. 8.","2,398","7,629","5.24","0","1,198","230","5","7","976"
"2021. 6. 9.","2,278","6,104","4.21","0","1,257","173","1","9","797"
"2021. 6. 10.","2,106","3,590","2.51","0","1,296","144","0","0","566"
"2021. 6. 11.","1,840","1,897","1.3","0","1,366","74","0","0","273"
"2021. 6. 12.","2,740","14,267","9.79","0","1,068","339","24","9","1,536"
"2021. 6. 13.","1,657","1,073","0.73","0","1,282","38","0","0","136"
"2021. 6. 14.","2,435","9,433","6.46","0","795","183","6","22","987"
"2021. 6. 15.","1,943","3,492","2.42","0","1,340","81","7","12","412"
"2021. 6. 16.","2,063","4,232","2.9","0","1,312","120","6","2","608"


